type,title,release_year,rating,listed_in,description,service
Movie,Mr. Duck Steps Out,1940,TV-G,"Animation, Comedy, Family",Donald attempts to court Daisy. See details for advisory.,disney plus
Movie,Mr. Mouse Takes a Trip,1940,TV-G,"Animation, Comedy, Family",Mickey Mouse and Pluto hit the road - and run into trouble. See details for advisory.,disney plus
Movie,Mulan II,2005,G,"Action-Adventure, Animation, Family",Mulan must complete a dangerous mission before marrying General Shang.,disney plus
TV Show,Muppet Moments (Shorts),2014,TV-Y7,"Anthology, Comedy, Kids",Join the Muppets as they share unforgettable moments.,disney plus
Movie,Muppet Treasure Island,1996,G,"Action-Adventure, Comedy, Family",The classic pirate tale gets a fun and zany Muppet twist.,disney plus
Movie,Muppets Most Wanted,2014,PG,"Action-Adventure, Comedy, Family",The Muppets find themselves entangled in an international crime caper.,disney plus
Movie,My Favorite Martian,1999,PG,"Comedy, Science Fiction",A TV reporter happens on the story of the millennium when a Martian lands on Earth.,disney plus
TV Show,My Friends Tigger & Pooh,2006,TV-Y,"Animation, Kids","Pooh, Tigger, and friends from the Hundred Acre Wood welcome new neighbors",disney plus
Movie,National Treasure: Book of Secrets,2007,PG,"Action-Adventure, Mystery, Thriller",Ben Gates must kidnap the president to prove his ancestor's innocence.,disney plus
Movie,Newsies,1992,PG,"Coming of Age, Drama, Family",New York City paperboys battle a greedy newspaper tycoon in 1899.,disney plus
Movie,Newsies: The Broadway Musical,2017,PG,"Coming of Age, Drama, Family",Gutsy newsboys take on newspaper titans in 1899. Filmed live in Hollywood.,disney plus
Movie,Noelle,2019,G,"Comedy, Family, Fantasy",Kris Kringle's daughter must find her brother and bring him back in time to save Christmas.,disney plus
Movie,Now You See It,2005,TV-G,"Coming of Age, Fantasy",An aspiring TV producer searches for the world's greatest kid magician.,disney plus
Movie,Olaf's Frozen Adventure,2017,G,"Animation, Comedy, Family",Olaf and Sven set out to save Christmas for Anna and Elsa.,disney plus
Movie,Old Yeller,1957,G,"Animals & Nature, Drama, Family",The quintessential film about a boy's love for his dog.,disney plus
Movie,Oliver & Company,1988,G,"Action-Adventure, Animation, Musical",A feisty young cat explores New York in this animated spin on Oliver Twist.,disney plus
Movie,Once Upon a Mattress,2005,TV-PG,"Comedy, Family, Fantasy","A fractured retelling of the classic ""The Princess and The Pea.""",disney plus
Movie,One Magic Christmas,1985,G,"Drama, Fantasy",A young mother rediscovers the joy of Christmas thanks to the unshakable faith of her daughter.,disney plus
Movie,One Man Band,2006,G,"Animation, Comedy, Family",A girl gets caught in the middle of a musical duel.,disney plus
Movie,Operation Dumbo Drop,1995,PG,"Action-Adventure, Animals & Nature, Comedy",Soldiers secretly transport an elephant across 200 miles of rugged terrain.,disney plus
TV Show,Origins: The Journey of Humankind,2016,TV-14,"Docuseries, Historical","Hosted by Jason Silva, this eight-part series illuminates key developments in human culture.",disney plus
TV Show,Out of the Box,1998,TV-G,Kids,A group of children come and play in a clubhouse made entirely out of painted cardboard boxes.,disney plus
Movie,Paris To Pittsburgh,2018,TV-PG,Documentary,Americans are demanding action on climate change and taking matters into their own hands.,disney plus
Movie,Partly Cloudy,2009,G,"Animation, Comedy, Family",Cloud people bring babies to life to storks to deliver,disney plus
Movie,Party Central,2014,PG,"Animation, Comedy, Family",Mike and Sulley return to Monsters University.,disney plus
Movie,Perri,1957,G,"Animals & Nature, Documentary, Family",The story of a little Pine Squirrel named Perri and her life in the forest.,disney plus
Movie,Pete's Dragon,2016,PG,"Action-Adventure, Family, Fantasy",A mysterious boy claims to live in the woods with a giant green dragon.,disney plus
Movie,Peter Pan,1953,G,"Action-Adventure, Animation, Family",Adventures await when Peter Pan and his friends fly to Never Land. See details for advisory.,disney plus
Movie,Peter Pan: Return to Never Land,2002,G,"Action-Adventure, Animation, Family",Wendy's daughter Jane is whisked away to Never Land by Captain Hook.,disney plus
Movie,Phantom of the Megaplex,2000,TV-G,"Comedy, Coming of Age",A phantom haunting a local megaplex threatens to ruin a premiere gala.,disney plus
TV Show,Phil of the Future,2003,TV-G,"Comedy, Coming of Age, Kids",Phil is just your average teenager – whose family crash-landed here from the year 2121.,disney plus
TV Show,Phineas and Ferb,2007,TV-G,"Action-Adventure, Animation, Comedy",Phineas and Ferb have big summertime adventures with friends.,disney plus
Movie,Phineas and Ferb the Movie: Across the 2nd Dimension,2011,TV-G,"Action-Adventure, Animation, Comedy",Phineas and Ferb jump dimensions and learn Perry is a real secret agent.,disney plus
Movie,Phineas and Ferb: Mission Marvel,2013,TV-G,"Action-Adventure, Animation, Comedy",Two Universes Collide In One Epic Adventure!,disney plus
Movie,Piglet's Big Movie,2003,G,"Action-Adventure, Animation, Kids","When Piglet disappears, his friends band together to find him.",disney plus
Movie,Pinocchio,1940,G,"Animation, Family, Fantasy",A little wooden puppet yearns to become a real boy.,disney plus
Movie,Piper,2016,G,"Animals & Nature, Animation, Family",A sandpiper exploring by the shore encounters scary waves.,disney plus
Movie,Pirates of the Caribbean: At World's End,2007,PG-13,"Action-Adventure, Fantasy",An alliance forms to rescue Captain Jack Sparrow from Davy Jones' locker.,disney plus
Movie,Pirates of the Caribbean: Dead Man's Chest,2006,PG-13,"Action-Adventure, Fantasy","Captain Jack Sparrow must seize the ""Dead Man's Chest"" to cheat death.",disney plus
Movie,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,"Action-Adventure, Fantasy",Jack Sparrow and Will Turner partner to save the governor's daughter.,disney plus
TV Show,Pixar In Real Life,2019,TV-G,"Anthology, Comedy, Family",Characters and moments from Pixar films are brought to life to the surprise of real people.,disney plus
Movie,Pixel Perfect,2004,TV-G,"Comedy, Coming of Age, Music",A techno whiz must protect his hologram from falling into the wrong hands.,disney plus
Movie,Planet of the Birds,2018,TV-PG,"Animals & Nature, Documentary, Family","Tough and versatile, birds live in almost every habitat across the world.",disney plus
Movie,Pluto and the Gopher,1950,TV-PG,"Animation, Comedy, Family",Pluto tries to catch a gopher in Minnie's garden. See details for advisory.,disney plus
Movie,Pluto's Christmas Tree,1952,TV-Y7,"Animation, Family, Kids",Pluto and Mickey bring home a special Christmas Tree. See details for advisory.,disney plus
Movie,Pluto's Surprise Package,1949,TV-G,"Animation, Comedy, Family","Pluto tries to bring in the mail, but one parcel refuses to cooperate. See details for advisory.",disney plus
Movie,Pluto's Sweater,1949,TV-G,"Animation, Comedy, Family",Pluto hates the sweater that Minnie knits for him. See details for advisory.,disney plus
Movie,Pocahontas,1995,G,"Action-Adventure, Animation, Family",Free-spirited Pocahontas must find her own path.,disney plus
Movie,Pocahontas II: Journey to a New World,1998,G,"Action-Adventure, Animation, Family",Pocahontas sets sail for England and the allure of life in a new land.,disney plus
Movie,Pollyanna,1960,G,"Coming of Age, Drama, Family","An orphan brings sunshine into the lives of everyone she meets, despite her stifling aunt.",disney plus
Movie,Pooh's Grand Adventure: The Search for Christopher Robin,1997,TV-G,"Action-Adventure, Animation, Kids",Pooh and his pals set off on an adventure to find their best friend.,disney plus
Movie,Pooh's Heffalump Movie,2005,G,"Action-Adventure, Animation, Kids",Pooh and his friends are shocked when Roo befriends a playful Heffalump.,disney plus
Movie,Presto,2008,G,"Animation, Family, Kids",Presto forgets to feed his rabbit one too many times.,disney plus
Movie,Princess Protection Program,2009,TV-G,"Buddy, Comedy, Coming of Age",Royalty and roughing it collide when a princess moves in with a tomboy.,disney plus
Movie,Purl,2019,PG,"Animation, Comedy, Family",Purl gets a job at a start-up and must decide how far is she willing to go to be accepted.,disney plus
TV Show,Quack Pack,1996,TV-Y,"Action-Adventure, Animation, Comedy","This cartoon follows on from the 1980's cartoon ""DuckTales"".",disney plus
Movie,Queen of Katwe,2016,PG,"Biographical, Drama, Sports",A Ugandan girl’s life changes forever when she discovers she has an amazing talent for chess.,disney plus
Movie,Quints,2000,TV-G,"Comedy, Coming of Age",Jamie is the center of attention until her mom gives birth to quintuplets.,disney plus
Movie,Ratatouille,2007,G,"Animation, Comedy, Family",A determined young rat dreams of becoming a French chef.,disney plus
Movie,Read It and Weep,2006,TV-G,"Comedy, Coming of Age, Drama",Jamie's journal accidentally becomes a best-selling book.,disney plus
Movie,Ready to Run,2000,TV-G,"Animals & Nature, Coming of Age, Family",Corrie dreams of becoming a jockey despite her father's race-related death.,disney plus
Movie,Recess: All Growed Down,2003,G,"Animation, Comedy, Family",T.J. and the gang are captured by the kindergartners.,disney plus
Movie,Recess: School's Out,2001,G,"Animation, Comedy, Family",Third Street Elementary students band together to save summer break.,disney plus
Movie,Recess: Taking the 5th Grade,2003,G,"Animation, Comedy, Family",The gang graduates to the fifth grade but discovers some unwelcome changes.,disney plus
Movie,Red's Dream,1987,TV-G,"Animation, Drama, Family","Red, a unicycle, dreams that he steals the show.",disney plus
Movie,Remember the Titans,2000,PG,"Drama, Historical, Sports",An African-American coach leads a newly integrated high school football team in 1970s Virginia.,disney plus
Movie,Rescue Dog,1947,TV-G,"Animation, Comedy, Family",Rescue dog Pluto must deal with a playful seal pup. See details for advisory.,disney plus
Movie,Return from Witch Mountain,1978,G,"Action-Adventure, Family, Science Fiction",Sinister masterminds manipulate a boy's supernatural powers for their own devious gain.,disney plus
Movie,Return to Halloweentown,2006,TV-PG,"Family, Fantasy",Marnie Piper holds the key to Witch University's ultimate secret.,disney plus
Movie,Return to Oz,1985,PG,"Action-Adventure, Family, Fantasy",Dorothy battles the wicked Princess Mombi and the evil Nome King to restore the Emerald City.,disney plus
Movie,Richie Rich's Christmas Wish,1998,G,"Action-Adventure, Comedy, Family",A wishing machine transports Richie Rich to an alternate universe.,disney plus
Movie,Right on Track,2003,TV-G,"Buddy, Family, Sports",Two sisters fight for their place in male-dominated junior drag racing.,disney plus
Movie,Riley’s First Date?,2015,G,"Animation, Comedy, Coming of Age",A boy shows up at Riley's door.,disney plus
Movie,Rip Girls,2000,TV-G,"Coming of Age, Drama",Sydney questions a decision to sell her inherited Hawaiian land.,disney plus
Movie,Robin Hood,1973,G,"Action-Adventure, Animation, Family",Disney's animated classic tale of England's legendary hero.,disney plus
TV Show,Rocky Mountain Animal Rescue,2018,TV-PG,"Animals & Nature, Docuseries, Family",Officers and vets in the Pike's Peak area of Colorado handle thousands of animal emergencies a year.,disney plus
Movie,Rogue One: A Star Wars Story,2016,PG-13,"Action-Adventure, Science Fiction",Unlikely heroes band together to steal the plans to the Death Star.,disney plus
Movie,Roving Mars,2006,G,"Documentary, Family",Explore the surface of the red planet through the eyes of two NASA rovers.,disney plus
Movie,Ruby Bridges,1998,TV-PG,"Biographical, Drama, Historical",A little girl becomes the first African-American to integrate her school.,disney plus
Movie,Sacred Planet,2004,G,"Animals & Nature, Documentary, Family",Visit some of the most exotic and beautiful places still in existence.,disney plus
Movie,Saludos Amigos,1943,TV-PG,"Animation, Comedy, Family",Four animated shorts with Donald Duck and Goofy are set to a samba beat. See details for advisory.,disney plus
Movie,"Sammy, The Way-Out Seal",1962,TV-G,"Animals & Nature, Comedy, Family",Two young brothers adopt an injured seal…without telling their parents. See details for advisory.,disney plus
Movie,Sanjay's Super Team,2015,PG,"Action-Adventure, Animation, Family",Young Sanjay daydreams of Hindu gods as superheroes.,disney plus
Movie,Santa Paws 2: The Santa Pups,2012,G,"Fantasy, Musical","When holiday spirit mysteriously begins to disappear, the Santa Pups race to save Christmas.",disney plus
Movie,Santa's Workshop,1932,TV-G,"Animation, Family, Fantasy",Santa and his elves make toys to deliver on Christmas Eve See details for advisory.,disney plus
Movie,Saving Mr. Banks,2013,PG-13,"Biographical, Drama, Historical","Discover the untold story behind Walt Disney's 20-year effort to bring ""Mary Poppins"" to life.",disney plus
Movie,Science Fair,2018,PG,"Documentary, Family",Nine high school students compete at the International Science and Engineering Fair.,disney plus
Movie,Sea of Hope: America's Underwater Treasures,2017,TV-PG,"Action-Adventure, Animals & Nature, Documentary",Oceanographer Sylvia Earle sets out to inspire the creation of 'blue parks' to protect the ocean.,disney plus
Movie,Secret of The Wings,2012,G,"Animation, Fantasy, Kids",Tink crosses into the forbidden Winter Woods and finds she has a sister.,disney plus
Movie,Secretariat,2010,PG,"Animals & Nature, Biographical, Drama","A housewife becomes the unlikely owner of a racehorse, then risks it all to make him a champion.",disney plus
Movie,Secrets of Christ's Tomb: Explorer Special,2017,TV-PG,"Documentary, Historical",A team of experts races to repair the structure housing Christ’s tomb.,disney plus
Movie,Secrets of Life,1956,TV-PG,"Animals & Nature, Documentary, Family",Discover Mother Nature’s secrets with a look at our ever-evolving planet.,disney plus
Movie,Secrets of the King Cobra,2012,TV-PG,"Animals & Nature, Documentary",A new scientific expedition follows the king cobra into the wild for the first time.,disney plus
TV Show,Shake It Up,2010,TV-G,"Buddy, Comedy, Coming of Age",Best friends attend high school and dance professionally.,disney plus
Movie,Sharks of Lost Island,2013,TV-PG,"Action-Adventure, Animals & Nature, Documentary",A team of explorers sets out to explore the sea and land of the remote Pitcairn Islands.,disney plus
Movie,Sharpay's Fabulous Adventure,2011,TV-G,"Comedy, Coming of Age, Music",Aspiring diva Sharpay leaves suburbia and hits Broadway…and hits it hard.,disney plus
Movie,Shipwrecked,1991,PG,"Action-Adventure, Coming of Age, Family",A cabin boy must outwit a ruthless gang of pirates while shipwrecked on a jungle island.,disney plus
TV Show,Silver Surfer,1997,TV-Y7,"Action-Adventure, Animation, Kids",The adventures of the cosmic wanderer as he seeks his lost home after rebelling from his master.,disney plus
Movie,Simpsons Movie,2007,PG-13,"Action-Adventure, Animation, Comedy",Homer must save the world from a catastrophe he himself created.,disney plus
Movie,Sister Act,1992,PG,"Comedy, Crime, Family",A low-rent lounge singer is forced to hide out from the mob in a convent.,disney plus
Movie,Sister Act 2: Back in the Habit,1993,PG,"Comedy, Family, Music",Deloris goes back undercover to try to save a troubled inner-city school.,disney plus
Movie,Skyrunners,2009,TV-PG,"Action-Adventure, Science Fiction",Teen brothers discover a UFO near their town…and learn of an alien plot.,disney plus
Movie,Sleeping Beauty,1959,G,"Animation, Family, Fantasy",A fairy-tale classic about a princess saved by true love's kiss.,disney plus
Movie,Smart House,1999,TV-G,"Comedy, Coming of Age, Drama",A computerized Smart House becomes an overly possessive virtual mother.,disney plus
Movie,Smash and Grab,2019,PG,"Animation, Buddy, Family",Two antiquated robots risk everything for freedom and for each other.,disney plus
Movie,Snow White and The Seven Dwarfs,1937,G,"Animation, Family, Fantasy",Discover the movie called “The Greatest Animated Film Of All Time”!,disney plus
Movie,Snowball Express,1972,G,"Comedy, Family, Sports",A New York accountant moves west when he inherits a dilapidated ski resort.,disney plus
Movie,Snowglobe,2007,TV-PG,"Comedy, Family, Fantasy",Angela finds a snow globe that transports her into a Christmas wonderland.,disney plus
TV Show,So Weird,1999,TV-Y7,"Fantasy, Kids, Mystery",A teenage girl travels the country on a rock tour while investigating the supernatural.,disney plus
Movie,Society Dog Show,1939,TV-G,"Animation, Comedy, Family","Pluto is out of place at a dog show, but he proves to be a hero. See details for advisory.",disney plus
TV Show,Spider-Man (Shorts),2016,TV-Y7,"Action-Adventure, Animation, Kids",Peter uses science to investigate his spider bite.,disney plus
TV Show,Spider-Man and His Amazing Friends,1982,TV-Y7,"Action-Adventure, Animation, Kids",Spider-Man battles crime in New York City with the help of Iceman and Firestar.,disney plus
TV Show,Spider-Man Unlimited,1999,TV-Y7,"Action-Adventure, Animation, Kids",Strap in to your seats and experience Spider-Man Unlimited!,disney plus
TV Show,Spider-Woman,1979,TV-Y7,"Action-Adventure, Animation, Kids",Jessica Drew has superhuman powers. She uses them as Spider-Woman.,disney plus
TV Show,Star Wars Forces of Destiny (Shorts),2016,TV-Y7,"Action-Adventure, Animation, Anthology",Untold stories from the heroines of Star Wars.,disney plus
TV Show,Star Wars Rebels,2014,TV-Y7,"Action-Adventure, Animation, Kids",The Ghost crew provides a spark to ignite a rebellion.,disney plus
TV Show,Star Wars Rebels (Shorts),2014,TV-Y7,"Action-Adventure, Animation, Kids",It is a dark time in the galaxy as the Empire continues to tighten its grip.,disney plus
Movie,Star Wars: A New Hope (Episode IV),1977,PG,"Action-Adventure, Science Fiction",A young farm boy intercepts a distress call from the captive Princess Leia.,disney plus
Movie,Star Wars: Attack of the Clones (Episode II),2002,PG,"Action-Adventure, Science Fiction",Young Anakin and Padmé fall in love as galactic war looms.,disney plus
TV Show,Star Wars: Blips,2019,TV-Y7-FV,Series,What does a curious little droid do when he's not on a daring mission to save the galaxy?,disney plus
Movie,Star Wars: Return of the Jedi (Episode VI),1983,PG,"Action-Adventure, Science Fiction",Luke Skywalker faces Darth Vader in a final duel.,disney plus
Movie,Star Wars: Revenge of the Sith (Episode III),2005,PG-13,"Action-Adventure, Science Fiction","As the Republic falls, Anakin Skywalker becomes the evil Darth Vader.",disney plus
Movie,Star Wars: The Empire Strikes Back (Episode V),1980,PG,"Action-Adventure, Science Fiction",Luke Skywalker trains as a Jedi and confronts Darth Vader.,disney plus
Movie,Star Wars: The Force Awakens (Episode VII),2015,PG-13,"Action-Adventure, Science Fiction","Rey, Finn, Han and Chewbacca search for the one hope of restoring peace.",disney plus
Movie,Star Wars: The Phantom Menace (Episode I),1999,PG,"Action-Adventure, Science Fiction","Jedi discover Anakin Skywalker, a boy unusually strong in the Force.",disney plus
Movie,Starstruck,2010,TV-G,"Comedy, Coming of Age, Music",Pop star Christopher Wilde must choose to follow his heart or embrace fame.,disney plus
Movie,Steamboat Willie,1928,TV-Y7,"Animation, Family, Kids",Watch Mickey Mouse's classic cartoon debut. See details for advisory.,disney plus
Movie,Stepsister from Planet Weird,2000,TV-G,"Comedy, Family, Science Fiction",A human and an alien team up to stop their parents from getting married.,disney plus
Movie,Stitch! The Movie,2003,G,"Animation, Comedy, Family","Stitch tries to save his intergalactic ""cousins"" from evil Captain Gantu.",disney plus
Movie,Stonehenge Decoded: Secrets Revealed,2008,TV-PG,Documentary,The discovery of a prehistoric site in Ireland sheds new light on the mysteries of Stonehenge,disney plus
Movie,Stuck in the Suburbs,2004,TV-G,"Comedy, Coming of Age, Music",A bored suburban teen accidentally switches phones with a pop star.,disney plus
Movie,Sultan and the Rock Star,1980,TV-PG,"Action-Adventure, Animals & Nature, Family",A rock star befriends a gentle tiger being hunted for sport. See details for advisory.,disney plus
Movie,Super Buddies,2013,G,"Action-Adventure, Comedy, Family",A new breed of hero is born when Disney's favorite extraordinary pups become Super Buddies!,disney plus
Movie,Swiss Family Robinson,1940,PG,"Action-Adventure, Family, Survival",A violent storm shipwrecks the Robinson family on a deserted island. See details for advisory.,disney plus
TV Show,TaleSpin,1990,TV-G,"Action-Adventure, Animation, Kids","Follow Baloo, his 12-year old navigator Kit, the boss Rebecca Cunningham, and the rest of the crew.",disney plus
Movie,Tall Tale,1995,PG,"Action-Adventure, Western",It's all up to Pecos Bill to save a boy's family farm in this rousing Western adventure.,disney plus
Movie,Tangled,2010,PG,"Action-Adventure, Animation, Family","Rapunzel and Flynn set off on a hilarious, hair-raising escapade.",disney plus
Movie,Tangled Before Ever After,2017,TV-Y7,"Animation, Coming of Age, Fantasy",Rapunzel escapes for a night of freedom before her coronation.,disney plus
Movie,Tarzan & Jane,2002,TV-PG,"Action-Adventure, Animation",Tarzan and Jane celebrate their first year in the jungle.,disney plus
Movie,Teacher's Pet,2004,PG,"Animation, Comedy, Family",A dog discovers that his dream of becoming a real boy isn't so far-fetched.,disney plus
Movie,Teen Beach 2,2015,TV-G,"Fantasy, Musical",Mack and Brady get a real-world visit from their retro movie compadres.,disney plus
Movie,Teen Beach Movie,2013,TV-G,"Coming of Age, Fantasy, Musical",McKenzie and her boyfriend Brady catch a wave into a retro coastal musical.,disney plus
Movie,Teen Spirit,2011,TV-14,"Buddy, Comedy, Coming of Age","To save her soul, Amber must pull off a high-school miracle.",disney plus
Movie,That Darn Cat,1997,PG,"Animals & Nature, Comedy, Family","A teen, a cat and a rookie FBI agent team up to solve a kidnapping.",disney plus
Movie,That Darn Cat!,1965,G,"Animals & Nature, Comedy, Family",A cat holds the clue to bank robbers holding a teller hostage.,disney plus
Movie,The Absent-Minded Professor,1961,G,"Comedy, Family, Science Fiction",A bumbling professor invents gravity-defying Flubber.,disney plus
Movie,The Adventures of André & Wally B.,1984,TV-G,"Animation, Kids",Andre awakens from a nap and is greeted by a pesky bee.,disney plus
Movie,The Adventures of Bullwhip Griffin,1967,TV-PG,"Action-Adventure, Comedy, Family",A boy joins the California gold rush with his trusty butler on his tail. See details for advisory.,disney plus
Movie,The Adventures of Huck Finn,1993,PG,"Action-Adventure, Coming of Age, Drama",Huck and a runaway slave brave the Mississippi River in search of freedom.,disney plus
Movie,The Adventures of Ichabod and Mr. Toad,1949,G,"Action-Adventure, Animation, Anthology",Enjoy two classic stories with Toad's Wild Ride and the Headless Horseman.,disney plus
TV Show,The Adventures of Spin and Marty,1955,TV-G,"Buddy, Coming of Age, Family",Spin and Marty have adventures during the summer at Triple R Ranch. See details for advisory.,disney plus
Movie,The African Lion,1955,G,"Animals & Nature, Documentary, Family",Two wildlife experts spend years studying the majestic African lion.,disney plus
Movie,The Apple Dumpling Gang,1975,G,"Comedy, Family, Western",Bumbling outlaws help three young orphans protect their huge gold nugget. See details for advisory.,disney plus
Movie,The Apple Dumpling Gang Rides Again,1979,G,"Comedy, Family, Western",Two bumbling outlaw wannabes just can't succeed in going straight. See details for advisory.,disney plus
Movie,The Aristocats,1970,G,"Action-Adventure, Animation, Comedy",A pedigreed cat and her kittens are catnapped by a greedy butler. See details for advisory.,disney plus
Movie,The Art of Skiing,1941,TV-G,"Animation, Comedy, Family",Goofy demonstrates the art of skiing. See details for advisory.,disney plus
TV Show,The Avengers: Earth's Mightiest Heroes,2010,TV-Y7,"Action-Adventure, Animation, Kids",Chaos sweeps over the planet as the Super Villain prison system breaks down.,disney plus
TV Show,The Avengers: United They Stand,1999,TV-Y7,"Action-Adventure, Animation, Kids","Set in a vibrant, high-tech future, the series focuses on the mightiest superheroes in the universe.",disney plus
Movie,The Band Concert,1935,TV-Y7,"Animation, Family, Kids",Mickey's concert in the park is disrupted by Donald and a cyclone. See details for advisory.,disney plus
Movie,The Bears and I,1974,TV-PG,"Animals & Nature, Drama, Family",A man seeking peace and quiet becomes a father to three mischievous bears. See details for advisory.,disney plus
Movie,The Big Bad Wolf,1934,TV-Y7,"Animation, Family, Musical",Red Riding Hood travels to visit her sick grandmother. See details for advisory.,disney plus
Movie,The Biscuit Eater,1972,G,"Animals & Nature, Drama, Family",Two young boys try to transform a misfit hound into a champion bird dog. See details for advisory.,disney plus
Movie,The Black Cauldron,1985,PG,"Action-Adventure, Animation, Coming of Age",A young pig keeper becomes an unlikely hero when he confronts an evil king.,disney plus
Movie,The Black Hole,1979,PG,"Action-Adventure, Science Fiction, Thriller",Take a spectacular descent into nature's ultimate mystery: The Black Hole.,disney plus
Movie,The Blue Umbrella,2013,G,"Animation, Family, Kids",Two unlikely umbrellas fall eternally in love.,disney plus
TV Show,The Book of Once Upon a Time,2014,TV-Y,"Animation, Anthology, Kids",Classic Disney tales are brought to life in a magical storytelling experience.,disney plus
TV Show,The Book of Pooh,2000,TV-Y,"Comedy, Kids",Pooh and Friends discover Christopher Robin’s storybook filled with endearing tales about them!,disney plus
Movie,The Brave Little Toaster Goes to Mars,1998,TV-G,"Action-Adventure, Animation, Kids",Toaster and his friends head for Mars to bring the master's baby home.,disney plus
Movie,The Castaway Cowboy,1974,G,"Action-Adventure, Family, Western",A Texan castaway helps defend a Hawaiian family's land.,disney plus
Movie,The Cheetah Girls,2003,TV-G,"Coming of Age, Drama, Music",The Cheetah Girls sing and dance their way toward that elusive record deal.,disney plus
Movie,The Cheetah Girls 2,2006,TV-G,"Coming of Age, Drama, Music",The Cheetahs go to Barcelona to perform in a music festival.,disney plus
Movie,The Cheetah Girls: One World,2008,TV-G,"Comedy, Coming of Age, Music",The Cheetah Girls are off to India to land a spot in a Bollywood musical.,disney plus
Movie,The Christmas Star,1986,TV-G,"Crime, Drama, Family",A counterfeiter finds the true meaning of Christmas.,disney plus
Movie,The Chronicles of Narnia: Prince Caspian,2008,PG,"Action-Adventure, Family, Fantasy",The Pevensie siblings return to lead the Narnians on a remarkable journey.,disney plus
Movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,"Action-Adventure, Family, Fantasy",Four siblings enter a magical land and help its inhabitants defeat a witch.,disney plus
Movie,The Color of Friendship,2000,TV-G,"Biographical, Drama",Two girls from different backgrounds learn the true color of friendship.,disney plus
Movie,The Computer Wore Tennis Shoes,1969,G,"Comedy, Crime, Science Fiction",A student turns genius when he absorbs the knowledge stored in a computer.,disney plus
Movie,The Country Bears,2002,G,"Comedy, Music",The Country Bears aim to save the venue that made them famous.,disney plus
Movie,The Emperor's New Groove,2000,G,"Action-Adventure, Animation, Family",A selfish emperor learns a lesson in humility when he is turned into a llama.,disney plus
Movie,The Even Stevens Movie,2003,TV-G,"Action-Adventure, Comedy",An all-expenses-paid vacation ends up costing the Stevens their sanity.,disney plus
Movie,The Flood,2018,TV-PG,"Animals & Nature, Documentary",The Okavango Delta in Botswana transforms from desert to water wonderland.,disney plus
Movie,The Fox and the Hound,1981,G,"Action-Adventure, Animation, Buddy",A little fox and a hound pup become unlikely friends.,disney plus
Movie,The Fox and the Hound 2,2006,G,"Action-Adventure, Animation, Buddy",Tod and Copper's friendship is put to the test.,disney plus
Movie,The Game Plan,2007,PG,"Comedy, Family, Sports",A superstar quarterback meets the daughter he never knew existed.,disney plus
Movie,The Ghosts of Buxley Hall,1980,TV-PG,"Comedy, Family, Fantasy",Ghosts inhabiting a cash-strapped academy enlist the help of a shy cadet.,disney plus
Movie,The Goddess of Spring,1934,TV-Y7,"Animation, Family, Fantasy","The goddess of spring is kidnapped, bringing about the winter season. See details for advisory.",disney plus
Movie,The Golden Touch,1935,TV-Y7,"Animation, Family, Fantasy",A fable of a king whose touch turns everything to gold. See details for advisory.,disney plus
Movie,The Good Dinosaur,2015,PG,"Action-Adventure, Animation, Buddy",A dinosaur named Arlo makes an unlikely friend during his journey home.,disney plus
Movie,The Great Muppet Caper,1981,G,"Comedy, Crime, Family",Kermit and the gang investigate when Miss Piggy is framed for burglary.,disney plus
Movie,The Greatest Game Ever Played,2005,PG,"Biographical, Sports","The story of Francis Ouimet, the first amateur to win the U.S. Open.",disney plus
Movie,The Haunted Mansion,2003,PG,"Comedy, Family, Fantasy","A family comes face-to-face with 999 grim, grinning ghosts in creepy old Gracey Manor.",disney plus
Movie,The Hockey Champ,1939,TV-G,"Animation, Comedy, Family",Donald and his nephews play Hockey. See details for advisory.,disney plus
Movie,The Hunchback of Notre Dame,1996,G,"Action-Adventure, Animation, Family",Quasi leaves his tower in Notre Dame to help a kind and beautiful gypsy.,disney plus
Movie,The Hunchback of Notre Dame II,2002,G,"Action-Adventure, Animation, Family",It's Quasimodo's turn to look past appearances when seeking true love.,disney plus
TV Show,The Imagineering Story,2019,TV-PG,"Docuseries, Historical",Creating happiness takes a strong blend of imagination and engineering - known as Imagineering.,disney plus
Movie,The Incredible Journey,1963,G,"Action-Adventure, Animals & Nature, Family",Two dogs and a cat traverse the Canadian frontier to find their way home.,disney plus
Movie,The Incredibles,2004,PG,"Action-Adventure, Animation, Family","A family of Supers, forced to adopt civilian lives, returns to action.",disney plus
Movie,The Journey of Natty Gann,1985,PG,"Action-Adventure, Coming of Age, Drama",A brave young girl embarks on a cross-country search for her father.,disney plus
Movie,The Jungle Book 2,2003,G,"Action-Adventure, Animation, Kids",Mowgli must decide whether to live in the village or return to the jungle.,disney plus
Movie,The Jungle Book: Mowgli's Story,1998,G,"Action-Adventure, Coming of Age, Family",Mowgli reflects on his childhood jungle adventures.,disney plus
Movie,The Legend of Mor'du,2012,TV-G,"Animation, Family, Fantasy",A prince seeks control of a kingdom from his brothers through magic.,disney plus
